Name,Birth,Twelve,Ordained,Seniority
Russell M. Nelson,09/09/1924,04/07/1984,04/12/1984,1
Dallin H. Oaks,08/12/1932,04/07/1984,05/03/1984,2
M. Russell Ballard,10/08/1928,10/06/1985,10/10/1985,2
Jeffrey R. Holland,12/03/1940,06/23/1994,06/23/1994,5
Henry B. Eyring,05/31/1933,04/01/1995,04/01/1995,6
Dieter F. Uchtdorf,11/06/1940,10/02/2004,10/07/2004,7
David A. Bednar,06/15/1952,10/07/2004,10/07/2004,8
Quentin L. Cook,09/08/1940,10/06/2007,10/11/2007,9
D. Todd Christofferson,01/24/1945,04/05/2008,04/10/2008,10
Neil L. Andersen,08/09/1951,04/04/2009,04/09/2009,11
Ronald A. Rasband,02/06/1951,10/03/2015,10/03/2015,12
Gary E. Stevenson,08/06/1955,10/03/2015,10/03/2015,13
Dale G. Renlund,11/13/1952,10/03/2015,10/03/2015,14
